北海道	610	110	5225	1001	240	679
青森	510	215	1238	100	197	278
秋田	485	255	960	111	144	182
岩手	515	270	1211	146	183	182
山形	460	310	1068	185	141	113
宮城	485	320	2302	426	348	255
新潟	405	345	2201	435	179	230
福島	450	360	1833	474	181	171
茨城	435	420	2867	646	329	226
栃木	425	390	1933	457	226	199
群馬	395	390	1939	474	122	241
埼玉	400	420	7345	1231	781	695
千葉	420	460	6284	1161	635	604
東京	400	434	14048	2852	2439	1692
神奈川	393	445	9237	1486	986	1076
山梨	372	428	810	207	82	137
長野	355	400	2048	460	265	174
静岡	340	450	3633	752	495	281
愛知	310	437	7542	1068	1589	723
岐阜	312	405	1979	196	348	183
富山	342	367	1035	135	151	183
石川	310	369	1133	135	248	104
福井	293	383	767	69	151	104
滋賀	275	417	1414	230	156	155	
三重	275	453	1770	172	393	137
奈良	253	454	1324	136	152	127
和歌山	236	478	923	86	115	152
大阪	241	437	8838	1270	1363	1113
京都	253	406	2578	354	331	321
兵庫	228	404	5465	692	531	663
岡山	190	396	1888	320	235	211
鳥取	210	378	553	44	71	136
広島	150	395	2800	595	270	244
島根	143	372	671	60	66	142
山口	92	394	1342	326	91	120
香川	185	431	950	108	121	132
徳島	191	449	720	80	84	135
高知	158	450	692	43	104	139
愛媛	127	442	1335	124	233	212
福岡	59	409	5135	1028	532	515
佐賀	31	415	811	188	73	75
長崎	15	435	1312	205	153	112
大分	79	448	1124	181	119	193
熊本	50	449	1738	360	200	160
宮崎	65	472	1070	200	128	111
鹿児島	22	484	1588	206	262	199
沖縄	623	450	1467	123	328	245